Ship-to party,Region Code,sub_region_code,광역도시,시군구,담당 RDC 코드,담당 RDC 명
10605,ABF,CCB_JP,충청북도,증평군,11RC,계룡RDC
862,ABF,CCB_JP,충청북도,증평군,11RC,계룡RDC
KP12911,ELA,CCB_JP,충청북도,증평군,11RC,계룡RDC
6491,ENA,CCB_OC,충청북도,옥천군,11RC,계룡RDC
9926,ENA,CCB_OC,충청북도,옥천군,11RC,계룡RDC
KH11293,ENA,CCB_OC,충청북도,옥천군,11RC,계룡RDC
KP11056,ENA,CCB_OC,충청북도,옥천군,11RC,계룡RDC
KP12398,ENA,CCB_OC,충청북도,옥천군,11RC,계룡RDC
KP13252,ENA,CCB_OC,충청북도,옥천군,11RC,계룡RDC
KP13653,ENA,CCB_OC,충청북도,옥천군,11RC,계룡RDC
3014131,EMA,CCB_OD,충청북도,영동군,11RC,계룡RDC
4609,EMA,CCB_OD,충청북도,영동군,11RC,계룡RDC
859,ELA,CCB_OS,충청북도,음성군,11RC,계룡RDC
4338,DJA,CCN_BO,충청남도,부여군,11RC,계룡RDC
7787,DJA,CCN_BO,충청남도,부여군,11RC,계룡RDC
9316,DJA,CCN_BO,충청남도,부여군,11RC,계룡RDC
942,DJA,CCN_BO,충청남도,부여군,11RC,계룡RDC
KH09635,DJA,CCN_BO,충청남도,부여군,11RC,계룡RDC
KP11057,DJA,CCN_BO,충청남도,부여군,11RC,계룡RDC
KP12824,DJA,CCN_BO,충청남도,부여군,11RC,계룡RDC
3007960,EDA,CCN_BR,충청남도,보령시,11RC,계룡RDC
5503,EDA,CCN_BR,충청남도,보령시,11RC,계룡RDC
6761,EDA,CCN_BR,충청남도,보령시,11RC,계룡RDC
7066,EDA,CCN_BR,충청남도,보령시,11RC,계룡RDC
891,EDA,CCN_BR,충청남도,보령시,11RC,계룡RDC
KH00007,EDA,CCN_BR,충청남도,보령시,11RC,계룡RDC
KP12479,EDA,CCN_BR,충청남도,보령시,11RC,계룡RDC
KP12851,EDA,CCN_BR,충청남도,보령시,11RC,계룡RDC
KP13023,EDA,CCN_BR,충청남도,보령시,11RC,계룡RDC
KP13438,EDA,CCN_BR,충청남도,보령시,11RC,계룡RDC
4371,DTB,CCN_CO,충청남도,청양군,11RC,계룡RDC
KH00548,DTB,CCN_CO,충청남도,청양군,11RC,계룡RDC
KP11583,DTB,CCN_CO,충청남도,청양군,11RC,계룡RDC
KP12753,DTA,CCN_CO,충청남도,청양군,11RC,계룡RDC
KP13696,DTA,CCN_CO,충청남도,청양군,11RC,계룡RDC
10277,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
4472,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
5201,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
6108,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
7112,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
9041,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
910,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
