rdc_name,distance_range,truck_type,price
제천RDC,91~100 km,11T,279000
제천RDC,91~100 km,1T,110100
제천RDC,91~100 km,3.5T,148000
제천RDC,91~100 km,5T,214600
제천RDC,91~100 km,8T,257500
제천RDC,101~120 km,11T,301000
제천RDC,101~120 km,1T,119400
제천RDC,101~120 km,3.5T,160100
제천RDC,101~120 km,5T,231500
제천RDC,101~120 km,8T,277800
제천RDC,121~140 km,11T,324900
제천RDC,121~140 km,1T,128900
제천RDC,121~140 km,3.5T,172800
제천RDC,121~140 km,5T,249900
제천RDC,121~140 km,8T,299900
제천RDC,141~160 km,11T,350600
제천RDC,141~160 km,1T,139100
제천RDC,141~160 km,3.5T,186600
제천RDC,141~160 km,5T,269700
제천RDC,141~160 km,8T,323600
제천RDC,161~180 km,11T,378400
제천RDC,161~180 km,1T,150000
제천RDC,161~180 km,3.5T,201300
제천RDC,161~180 km,5T,291100
제천RDC,161~180 km,8T,349300
제천RDC,181~200 km,11T,407800
제천RDC,181~200 km,1T,161600
제천RDC,181~200 km,3.5T,216700
제천RDC,181~200 km,5T,313700
제천RDC,181~200 km,8T,376400
제천RDC,201~230 km,11T,450700
제천RDC,201~230 km,1T,179500
제천RDC,201~230 km,3.5T,240500
제천RDC,201~230 km,5T,346700
제천RDC,201~230 km,8T,416000
제천RDC,231~260 km,11T,498600
제천RDC,231~260 km,1T,199000
제천RDC,231~260 km,3.5T,266800
제천RDC,231~260 km,5T,383500
제천RDC,231~260 km,8T,460200
제천RDC,261~290 km,11T,551500
제천RDC,261~290 km,1T,221000
제천RDC,261~290 km,3.5T,296200
제천RDC,261~290 km,5T,424200
제천RDC,261~290 km,8T,509000
제천RDC,291~320 km,11T,610100
제천RDC,291~320 km,1T,245400
제천RDC,291~320 km,3.5T,328900
제천RDC,291~320 km,5T,469300
제천RDC,291~320 km,8T,563200
제천RDC,321~350 km,11T,679000
제천RDC,321~350 km,1T,273600
제천RDC,321~350 km,3.5T,366500
제천RDC,321~350 km,5T,522300
제천RDC,321~350 km,8T,626800
중부RDC,1~10 km,11T,116900
중부RDC,1~10 km,1T,46600
중부RDC,1~10 km,24T,143500
중부RDC,1~10 km,3.5T,61800
중부RDC,1~10 km,5T,89300
중부RDC,1~10 km,8T,107400
중부RDC,11~20 km,11T,124600
중부RDC,11~20 km,1T,49400
중부RDC,11~20 km,24T,152100
중부RDC,11~20 km,3.5T,65700
중부RDC,11~20 km,5T,95100
중부RDC,11~20 km,8T,114100
중부RDC,21~30 km,11T,160600
중부RDC,21~30 km,1T,63800
중부RDC,21~30 km,24T,197600
중부RDC,21~30 km,3.5T,84600
중부RDC,21~30 km,5T,123500
중부RDC,21~30 km,8T,148200
중부RDC,31~40 km,11T,170200
중부RDC,31~40 km,1T,67600
중부RDC,31~40 km,24T,210100
중부RDC,31~40 km,3.5T,90400
중부RDC,31~40 km,5T,130300
중부RDC,31~40 km,8T,156900
중부RDC,41~50 km,11T,180600
중부RDC,41~50 km,1T,71400
중부RDC,41~50 km,24T,221500
중부RDC,41~50 km,3.5T,96100
중부RDC,41~50 km,5T,138800
중부RDC,41~50 km,8T,166400
중부RDC,51~60 km,11T,192100
중부RDC,51~60 km,1T,76100
중부RDC,51~60 km,24T,235800
중부RDC,51~60 km,3.5T,101800
중부RDC,51~60 km,5T,147500
중부RDC,51~60 km,8T,176000
중부RDC,61~70 km,11T,202500
중부RDC,61~70 km,1T,79900
중부RDC,61~70 km,24T,249000
중부RDC,61~70 km,3.5T,107500
중부RDC,61~70 km,5T,155900
중부RDC,61~70 km,8T,187300
중부RDC,71~80 km,11T,214800
중부RDC,71~80 km,1T,84700
중부RDC,71~80 km,24T,263300
중부RDC,71~80 km,3.5T,114100
중부RDC,71~80 km,5T,165400
중부RDC,71~80 km,8T,197700
중부RDC,81~90 km,11T,227300
중부RDC,81~90 km,1T,90500
중부RDC,81~90 km,24T,280500
중부RDC,81~90 km,3.5T,120800
중부RDC,81~90 km,5T,175000
중부RDC,81~90 km,8T,210200
중부RDC,91~100 km,11T,240600
중부RDC,91~100 km,1T,95200
중부RDC,91~100 km,24T,296600
중부RDC,91~100 km,3.5T,127500
중부RDC,91~100 km,5T,185500
중부RDC,91~100 km,8T,222500
중부RDC,101~120 km,11T,260500
중부RDC,101~120 km,1T,105700
중부RDC,101~120 km,24T,320400
중부RDC,101~120 km,3.5T,138900
중부RDC,101~120 km,5T,199700
중부RDC,101~120 km,8T,239600
중부RDC,121~140 km,11T,281500
중부RDC,121~140 km,1T,118000
중부RDC,121~140 km,24T,346100
중부RDC,121~140 km,3.5T,149400
중부RDC,121~140 km,5T,216900
중부RDC,121~140 km,8T,259700
중부RDC,141~160 km,11T,303500
중부RDC,141~160 km,1T,130500
중부RDC,141~160 km,24T,373800
중부RDC,141~160 km,3.5T,163700
중부RDC,141~160 km,5T,234100
중부RDC,141~160 km,8T,280700
중부RDC,161~180 km,11T,328200
중부RDC,161~180 km,1T,145700
중부RDC,161~180 km,24T,403200
중부RDC,161~180 km,3.5T,181800
중부RDC,161~180 km,5T,252200
중부RDC,161~180 km,8T,302500
중부RDC,181~200 km,11T,353900
중부RDC,181~200 km,1T,160800
중부RDC,181~200 km,24T,434700
중부RDC,181~200 km,3.5T,201800
중부RDC,181~200 km,5T,272200
중부RDC,181~200 km,8T,326400
중부RDC,201~230 km,11T,391000
중부RDC,201~230 km,1T,183700
중부RDC,201~230 km,24T,450800
중부RDC,201~230 km,3.5T,229400
중부RDC,201~230 km,5T,300700
중부RDC,201~230 km,8T,360600
중부RDC,231~260 km,11T,431800
중부RDC,231~260 km,1T,209300
중부RDC,231~260 km,24T,498300
중부RDC,231~260 km,3.5T,262600
중부RDC,231~260 km,5T,332100
중부RDC,231~260 km,8T,399500
중부RDC,261~290 km,11T,478600
중부RDC,261~290 km,1T,238900
중부RDC,261~290 km,24T,551700
중부RDC,261~290 km,3.5T,298800
중부RDC,261~290 km,5T,368400
중부RDC,261~290 km,8T,441500
중부RDC,291~320 km,11T,528900
중부RDC,291~320 km,1T,272100
중부RDC,291~320 km,24T,610600
중부RDC,291~320 km,3.5T,340600
중부RDC,291~320 km,5T,407300
중부RDC,291~320 km,8T,489000
중부RDC,321~350 km,11T,587800
중부RDC,321~350 km,1T,308300
중부RDC,321~350 km,24T,679000
중부RDC,321~350 km,3.5T,386300
중부RDC,321~350 km,5T,452900
중부RDC,321~350 km,8T,543200
칠곡RDC,1~10 km,11T,151700
칠곡RDC,1~10 km,1T,52600
칠곡RDC,1~10 km,3.5T,65500
칠곡RDC,1~10 km,5T,91900
칠곡RDC,1~10 km,8T,119200
칠곡RDC,11~20 km,11T,159000
칠곡RDC,11~20 km,1T,54500
칠곡RDC,11~20 km,3.5T,73000
칠곡RDC,11~20 km,5T,98200
칠곡RDC,11~20 km,8T,126100
칠곡RDC,21~30 km,11T,181600
칠곡RDC,21~30 km,1T,66100
칠곡RDC,21~30 km,3.5T,88000
칠곡RDC,21~30 km,5T,124300
칠곡RDC,21~30 km,8T,153200
칠곡RDC,31~40 km,11T,197900
칠곡RDC,31~40 km,1T,72000
칠곡RDC,31~40 km,3.5T,93500
칠곡RDC,31~40 km,5T,129400
칠곡RDC,31~40 km,8T,173400
칠곡RDC,41~50 km,11T,205500
칠곡RDC,41~50 km,1T,77500
칠곡RDC,41~50 km,3.5T,101200
칠곡RDC,41~50 km,5T,137600
칠곡RDC,41~50 km,8T,181500
칠곡RDC,51~60 km,11T,207100
칠곡RDC,51~60 km,1T,80700
칠곡RDC,51~60 km,3.5T,109800
칠곡RDC,51~60 km,5T,144400
칠곡RDC,51~60 km,8T,184400
칠곡RDC,61~70 km,11T,214400
칠곡RDC,61~70 km,1T,87500
칠곡RDC,61~70 km,3.5T,117400
칠곡RDC,61~70 km,5T,152900
칠곡RDC,61~70 km,8T,193400
칠곡RDC,71~80 km,11T,223800
칠곡RDC,71~80 km,1T,93500
칠곡RDC,71~80 km,3.5T,126700
칠곡RDC,71~80 km,5T,163300
칠곡RDC,71~80 km,8T,202700
칠곡RDC,81~90 km,11T,232300
칠곡RDC,81~90 km,1T,99800
칠곡RDC,81~90 km,3.5T,136100
칠곡RDC,81~90 km,5T,172800
칠곡RDC,81~90 km,8T,213000
칠곡RDC,91~100 km,11T,243100
칠곡RDC,91~100 km,1T,110100
칠곡RDC,91~100 km,3.5T,145000
칠곡RDC,91~100 km,5T,183500
칠곡RDC,91~100 km,8T,224000
칠곡RDC,101~120 km,11T,278700
칠곡RDC,101~120 km,1T,117100
칠곡RDC,101~120 km,3.5T,159000
칠곡RDC,101~120 km,5T,197600
칠곡RDC,101~120 km,8T,236800
칠곡RDC,121~140 km,11T,305400
칠곡RDC,121~140 km,1T,127300
칠곡RDC,121~140 km,3.5T,176500
칠곡RDC,121~140 km,5T,215000
칠곡RDC,121~140 km,8T,253600
칠곡RDC,141~160 km,11T,324800
칠곡RDC,141~160 km,1T,142000
칠곡RDC,141~160 km,3.5T,195200
칠곡RDC,141~160 km,5T,231900
칠곡RDC,141~160 km,8T,280100
칠곡RDC,161~180 km,11T,343100
칠곡RDC,161~180 km,1T,156900
칠곡RDC,161~180 km,3.5T,215700
칠곡RDC,161~180 km,5T,252200
칠곡RDC,161~180 km,8T,300400
칠곡RDC,181~200 km,11T,357400
칠곡RDC,181~200 km,1T,174500
칠곡RDC,181~200 km,3.5T,232900
칠곡RDC,181~200 km,5T,274500
칠곡RDC,181~200 km,8T,321200
칠곡RDC,201~230 km,11T,369300
칠곡RDC,201~230 km,1T,196200
칠곡RDC,201~230 km,3.5T,263900
칠곡RDC,201~230 km,5T,305000
칠곡RDC,201~230 km,8T,351500
칠곡RDC,231~260 km,11T,402000
칠곡RDC,231~260 km,1T,204500
칠곡RDC,231~260 km,3.5T,283100
칠곡RDC,231~260 km,5T,340700
칠곡RDC,231~260 km,8T,386200
칠곡RDC,261~290 km,11T,430800
칠곡RDC,261~290 km,1T,226500
칠곡RDC,261~290 km,3.5T,297900
칠곡RDC,261~290 km,5T,348800
칠곡RDC,261~290 km,8T,415800
칠곡RDC,291~320 km,11T,465000
칠곡RDC,291~320 km,1T,257700
칠곡RDC,291~320 km,3.5T,306800
칠곡RDC,291~320 km,5T,356700
칠곡RDC,291~320 km,8T,432500
칠곡RDC,321~350 km,11T,486300
칠곡RDC,321~350 km,1T,283100
칠곡RDC,321~350 km,3.5T,333600
칠곡RDC,321~350 km,5T,379200
칠곡RDC,321~350 km,8T,453200
평택RDC,1~10 km,11T,135900
평택RDC,1~10 km,1T,54000
평택RDC,1~10 km,3.5T,72000
평택RDC,1~10 km,5T,104500
평택RDC,1~10 km,8T,125400
평택RDC,11~20 km,11T,144000
평택RDC,11~20 km,1T,56900
평택RDC,11~20 km,3.5T,76200
평택RDC,11~20 km,5T,110800
평택RDC,11~20 km,8T,133000
평택RDC,21~30 km,11T,186600
평택RDC,21~30 km,1T,74000
평택RDC,21~30 km,3.5T,98900
평택RDC,21~30 km,5T,143500
평택RDC,21~30 km,8T,172200
평택RDC,31~40 km,11T,198000
평택RDC,31~40 km,1T,78100
평택RDC,31~40 km,3.5T,104800
평택RDC,31~40 km,5T,152300
평택RDC,31~40 km,8T,182800
평택RDC,41~50 km,11T,209300
평택RDC,41~50 km,1T,82900
평택RDC,41~50 km,3.5T,111000
평택RDC,41~50 km,5T,161000
평택RDC,41~50 km,8T,193200
평택RDC,51~60 km,11T,221900
평택RDC,51~60 km,1T,87700
평택RDC,51~60 km,3.5T,117400
평택RDC,51~60 km,5T,170700
평택RDC,51~60 km,8T,204800
평택RDC,61~70 km,11T,234900
평택RDC,61~70 km,1T,92900
평택RDC,61~70 km,3.5T,124300
평택RDC,61~70 km,5T,180700
평택RDC,61~70 km,8T,216800
평택RDC,71~80 km,11T,248400
평택RDC,71~80 km,1T,98200
평택RDC,71~80 km,3.5T,131900
평택RDC,71~80 km,5T,191100
평택RDC,71~80 km,8T,229300
평택RDC,81~90 km,11T,263500
평택RDC,81~90 km,1T,104200
평택RDC,81~90 km,3.5T,139700
평택RDC,81~90 km,5T,202700
평택RDC,81~90 km,8T,243200
평택RDC,91~100 km,11T,279000
평택RDC,91~100 km,1T,110100
평택RDC,91~100 km,3.5T,148000
평택RDC,91~100 km,5T,214600
평택RDC,91~100 km,8T,257500
평택RDC,101~120 km,11T,301000
평택RDC,101~120 km,1T,119400
평택RDC,101~120 km,3.5T,160100
평택RDC,101~120 km,5T,231500
평택RDC,101~120 km,8T,277800
평택RDC,121~140 km,11T,324900
평택RDC,121~140 km,1T,128900
평택RDC,121~140 km,3.5T,172800
평택RDC,121~140 km,5T,249900
평택RDC,121~140 km,8T,299900
평택RDC,141~160 km,11T,350600
평택RDC,141~160 km,1T,139100
평택RDC,141~160 km,3.5T,186600
평택RDC,141~160 km,5T,269700
평택RDC,141~160 km,8T,323600
평택RDC,161~180 km,11T,378400
평택RDC,161~180 km,1T,150000
평택RDC,161~180 km,3.5T,201300
평택RDC,161~180 km,5T,291100
평택RDC,161~180 km,8T,349300
평택RDC,181~200 km,11T,407800
평택RDC,181~200 km,1T,161600
평택RDC,181~200 km,3.5T,216700
평택RDC,181~200 km,5T,313700
평택RDC,181~200 km,8T,376400
평택RDC,201~230 km,11T,450700
