시군구코드(대표리전코드),광역도시,시군구명,현재배정RDC(수량기준),총수량,총배송횟수(DeliveryNo),고유배송지코드수(Ship-to),RDC까지거리_km(수량가중평균),"RDC까지시간_h(중앙값,RealGI~Arrival)",수량비중_%,배송횟수비중_%,배정RDC_수량점유율_%,배정RDC_배송횟수점유율_%,대표권역번호(ShipmentRoute)
PIA,경상북도,울진군,칠곡RDC,895,109,9,231.4,7.75,0.0434,0.1112,97.32,96.33,KRDEH0
IIA,전라남도,담양군,계룡RDC,870,44,4,190.8,3.52,0.0422,0.0449,98.62,95.45,KRDD60
FPA,경기도,부천시 오정구,평택RDC,819,60,3,136.5,3.41,0.0397,0.0612,69.35,70.0,KRD8A0
IKA,전라남도,화순군,계룡RDC,816,73,4,201.9,4.52,0.0396,0.0745,90.56,83.56,KRDDL0
PIK,경상북도,의성군,칠곡RDC,778,83,3,120.0,1.82,0.0377,0.0847,100.0,100.0,KRDEI0
HEA,경기도,가평군,평택RDC,748,95,8,162.1,3.8,0.0363,0.0969,91.58,85.26,KRD800
LBA,부산광역시,동구,칠곡RDC,717,54,2,158.3,2.43,0.0348,0.0551,100.0,100.0,KRD104
KGA,전라북도,장수군,계룡RDC,675,86,3,139.3,4.33,0.0327,0.0877,85.63,83.72,KRDCA0
IUB,전라남도,완도군,계룡RDC,673,68,3,320.0,9.21,0.0326,0.0694,97.92,92.65,KRDDF0
OFA,대구광역시,남구,칠곡RDC,618,48,3,32.6,1.47,0.03,0.049,99.03,97.92,KRD200
IVA,전라남도,진도군,계룡RDC,602,94,6,320.0,8.05,0.0292,0.0959,97.67,95.74,KRDDI0
IGA,전라남도,장성군,계룡RDC,600,44,3,275.5,1.94,0.0291,0.0449,99.33,95.45,KRDDG0
ABA,서울특별시,종로구,평택RDC,572,95,6,90.0,3.12,0.0277,0.0969,94.41,92.63,KRD00M
OKD,대구광역시,군위군,칠곡RDC,541,70,2,118.6,1.4,0.0262,0.0714,98.52,97.14,KRD208
HHA,경기도,동두천시,평택RDC,538,61,4,169.9,3.56,0.0261,0.0622,85.87,81.97,KRD890
JXA,전라북도,부안군,계룡RDC,436,57,3,140.5,3.42,0.0211,0.0581,95.64,85.96,KRDC50
IBA,광주광역시,동구,계룡RDC,419,51,2,200.9,5.18,0.0203,0.052,99.05,98.04,KRD402
JQA,전라북도,무주군,계룡RDC,405,50,1,136.0,3.59,0.0196,0.051,100.0,100.0,KRDC40
IPA,전라남도,장흥군,계룡RDC,331,38,2,318.7,10.03,0.0161,0.0388,95.77,94.74,KRDDH0
KFA,전라북도,순창군,계룡RDC,299,29,3,147.7,4.11,0.0145,0.0296,90.97,82.76,KRDC60
LKA,부산광역시,영도구,칠곡RDC,269,33,3,188.3,3.6,0.013,0.0337,70.26,84.85,KRD10D
OKA,경상북도,청도군,칠곡RDC,256,22,1,166.0,2.65,0.0124,0.0224,56.64,68.18,KRDEJ0
JOA,전라북도,임실군,계룡RDC,236,40,4,148.6,2.52,0.0114,0.0408,97.46,97.5,KRDC90
AAA,서울특별시,중구,평택RDC,235,36,3,90.0,1.76,0.0114,0.0367,98.3,94.44,KRD00N
JPA,전라북도,진안군,계룡RDC,208,42,2,137.8,4.3,0.0101,0.0428,90.38,88.1,KRDCD0
MEA,경상남도,의령군,칠곡RDC,177,9,1,120.5,2.71,0.0086,0.0092,100.0,100.0,KRDF90
CBA,강원도,화천군,제천RDC,153,16,3,160.0,3.79,0.0074,0.0163,97.39,93.75,KRD9G0
C84,경상북도,울릉군,칠곡RDC,137,7,1,230.0,2.99,0.0066,0.0071,100.0,100.0,KRDEG0
PGA,경상북도,영양군,중부RDC,16,2,2,260.0,40.69,0.0008,0.002,87.5,50.0,KRDEC0
