배송지코드,광역도시,시군구
JTA,전라북도,군산시
JTC,전라북도,군산시
JVA,전라북도,김제시
JXA,전라북도,부안군
KAA,전라북도,정읍시
KCA,전라북도,고창군
KDA,전라북도,남원시
KFA,전라북도,순창군
KGA,전라북도,장수군
LAA,부산광역시,중구
LBA,부산광역시,동구
LCA,부산광역시,사상구
LCA,부산광역시,서구
LDA,부산광역시,사하구
LDB,부산광역시,사하구
LEA,부산광역시,영도구
LFA,부산광역시,동래구
LGA,부산광역시,남구
LHA,부산광역시,금정구
LHC,부산광역시,금정구
LIA,부산광역시,연제구
LJA,부산광역시,해운대구
LJD,부산광역시,해운대구
LKA,경상남도,양산시
LKA,경상남도,창원시 진해구
LKA,부산광역시,강서구
LKA,부산광역시,남구
LKA,부산광역시,수영구
LKA,부산광역시,영도구
LLA,부산광역시,부산진구
LLA,부산광역시,연제구
LMA,부산광역시,북구
LNA,부산광역시,사상구
LOA,부산광역시,강서구
LOD,부산광역시,강서구
LPA,부산광역시,기장군
LQA,경상남도,김해시
LQG,경상남도,김해시
LQH,경상남도,김해시
LSA,경상남도,양산시
LSC,경상남도,양산시
LTA,경상남도,밀양시
MAA,경상남도,창원시 마산회원구
MAA,경상남도,창원시 의창구
MBA,경상남도,창원시 마산합포구
MBA,경상남도,창원시 의창구
MDA,경상남도,창녕군
MEA,경상남도,의령군
MFA,경상남도,함안군
MGA,경상남도,고성군
MGA,경상남도,산청군
MHA,경상남도,창원시 마산합포구
MHA,경상남도,창원시 마산회원구
MHA,경상남도,창원시 성산구
MHA,경상남도,창원시 의창구
MHA,경상남도,창원시 진해구
MIA,경상남도,창원시 진해구
MJA,경상남도,통영시
MLA,경상남도,거제시
MLC,경상남도,거제시
MNA,경상남도,사천시
MNA,경상남도,진주시
MNA,전라북도,정읍시
MPA,경상남도,사천시
MQA,경상남도,산청군
MRA,경상남도,하동군
MSA,경상남도,남해군
MTA,경상남도,거창군
MUA,경상남도,함양군
MUA,경상북도,포항시 남구
MVA,경상남도,합천군
NAA,울산광역시,남구
NBA,울산광역시,중구
NCA,울산광역시,동구
NDA,울산광역시,북구
NEA,경상북도,포항시 남구
NEA,울산광역시,울주군
NED,울산광역시,울주군
NFA,제주특별자치도,제주시
NFB,제주특별자치도,제주시
NFC,제주특별자치도,제주시
NFD,제주특별자치도,제주시
NFE,제주특별자치도,서귀포시
NFF,제주특별자치도,서귀포시
NFG,제주특별자치도,서귀포시
OAA,대구광역시,중구
OBA,대구광역시,동구
OBC,대구광역시,동구
OCA,대구광역시,북구
ODA,대구광역시,북구
ODA,대구광역시,서구
OEA,대구광역시,달서구
OEA,대구광역시,서구
OEH,대구광역시,달서구
OFA,대구광역시,남구
OGA,대구광역시,수성구
OGC,대구광역시,수성구
OHA,대구광역시,달성군
OHD,대구광역시,달성군
OIA,경상북도,경산시
OKA,경상북도,청도군
OKD,대구광역시,군위군
OLA,경상북도,고령군
OLA,대구광역시,수성구
OMA,경상북도,칠곡군
OMC,경상북도,칠곡군
ONA,경상북도,성주군
OOA,경상북도,구미시
OOA,경상북도,상주시
OOB,경상북도,구미시
OPA,경상북도,김천시
OQA,경상북도,상주시
OTA,경상북도,문경시
PAA,경상북도,영주시
PBA,경상북도,봉화군
PCA,경상북도,경주시
PCA,경상북도,봉화군
PCA,경상북도,안동시
PCA,경상북도,예천군
PCB,경상북도,예천군
PDA,경상북도,안동시
PFA,경상북도,청송군
PGA,경상북도,영양군
PHA,경상북도,영덕군
PHA,울산광역시,동구
PHA,울산광역시,울주군
PIA,경상남도,거제시
PIA,경상북도,울진군
PIK,경상북도,의성군
PJA,경상북도,영천시
PLA,경상북도,경주시
PLB,경상북도,경주시
PNA,경상북도,포항시 남구
PNA,경상북도,포항시 북구
POA,경상북도,안동시
POA,경상북도,포항시 북구
