주문자코드(Sold to),건수,배송지(Ship-to) 수,출하RDC,배송지역
KP12910,24,1,평택RDC,충청남도 아산시
KP11662,24,1,칠곡RDC,부산광역시 남구
10183,24,1,평택RDC,인천광역시 서구
KP12556,24,1,평택RDC,경기도 평택시
KH10696,24,1,칠곡RDC,경상남도 김해시
KP11562,24,1,평택RDC,충청남도 태안군
KP11062,24,1,계룡RDC,전라남도 목포시
KP11429,24,1,제천RDC,강원도 원주시
KP11147,24,1,계룡RDC,전라북도 군산시
KH10421,24,1,평택RDC,경기도 김포시
10604,24,3,계룡RDC,충청북도 청주시 서원구 / 충청북도 청주시 청원구 / 충청북도 청주시 흥덕구
311,24,1,평택RDC,경기도 화성시
KP11057,24,1,계룡RDC,충청남도 부여군
7018,24,1,평택RDC,경기도 평택시
KP13654,24,1,제천RDC,강원도 평창군
5016,24,1,계룡RDC,전라북도 익산시
KP13609,24,1,계룡RDC,전라북도 완주군
KH07325,24,1,평택RDC,경기도 성남시 분당구
KH11032,24,1,칠곡RDC,경상남도 김해시
KP12161,24,1,평택RDC,서울특별시 성북구
KP12451,23,1,칠곡RDC,경상남도 진주시
KH05537,23,1,칠곡RDC,부산광역시 부산진구
KH09072,23,1,평택RDC,경기도 김포시
8401,23,1,칠곡RDC,대구광역시 달서구
KH10354,23,1,칠곡RDC,울산광역시 동구
KP13274,23,1,평택RDC,경기도 평택시
KH10243,23,1,칠곡RDC,경상남도 김해시
222,23,5,제주RDC / 평택RDC,경기도 김포시 / 경기도 용인시 처인구 / 서울특별시 영등포구 / 제주특별자치도 서귀포시 / 제주특별자치도 제주시
KP12057,23,1,계룡RDC,충청남도 공주시
6203,23,1,평택RDC,경기도 용인시 처인구
5969,23,3,계룡RDC,충청남도 금산군 / 충청남도 논산시
KP11298,23,1,칠곡RDC,경상북도 포항시 남구
KP12995,23,1,계룡RDC,전라남도 영광군
491,23,1,평택RDC,경기도 김포시
1382,23,1,칠곡RDC,경상남도 함양군
KH11278,23,1,계룡RDC,전라북도 익산시
KP13001,22,1,평택RDC,경기도 용인시 기흥구
10541,22,1,칠곡RDC,경상북도 구미시
7687,22,1,칠곡RDC,울산광역시 울주군
9584,22,1,칠곡RDC,부산광역시 사하구
KP13604,22,1,평택RDC,경기도 양주시
7812,22,1,계룡RDC,전라남도 목포시
KH02272,22,1,계룡RDC,전라남도 순천시
KP11440,22,1,계룡RDC,충청남도 논산시
10631,22,1,칠곡RDC,부산광역시 금정구
KP11787,22,1,제주RDC,제주특별자치도 서귀포시
KP12136,22,1,칠곡RDC,부산광역시 강서구
8408,22,1,칠곡RDC,대구광역시 달서구
1500,22,1,제주RDC,제주특별자치도 제주시
10589,22,1,평택RDC,서울특별시 중랑구
KP11397,22,1,계룡RDC,광주광역시 광산구
KP11054,22,1,칠곡RDC,경상남도 합천군
KP12561,22,1,계룡RDC,충청남도 공주시
KH10744,22,1,칠곡RDC,경상남도 밀양시
KP11222,22,1,계룡RDC,전라남도 영광군
KH11327,22,1,평택RDC,경기도 화성시
KH10620,22,1,평택RDC,경기도 포천시
KH11187,22,1,계룡RDC,광주광역시 광산구
KH11285,22,1,평택RDC,경기도 군포시
1363,21,1,칠곡RDC,경상남도 사천시
10606,21,1,계룡RDC,충청북도 보은군
837,21,1,계룡RDC,충청북도 청주시 흥덕구
KP12341,21,1,평택RDC,경기도 광주시
6713,21,1,평택RDC,경기도 남양주시
KP11253,21,1,평택RDC,충청남도 예산군
5421,21,1,계룡RDC,충청북도 청주시 상당구
4487,21,1,계룡RDC,전라남도 영암군
KP13323,21,1,계룡RDC,대전광역시 유성구
6665,21,1,계룡RDC,전라남도 구례군
KP12094,21,1,칠곡RDC,부산광역시 북구
7918,21,1,제천RDC,경기도 여주시
KP12953,21,1,계룡RDC,광주광역시 북구
KP13042,21,1,계룡RDC,전라남도 목포시
KP13070,21,1,칠곡RDC,경상남도 창원시 마산회원구
850,21,1,제천RDC,충청북도 충주시
KP11774,21,1,평택RDC,경기도 고양시 일산동구
KH09869,21,1,평택RDC,경기도 화성시
KP11218,21,1,제천RDC,충청북도 제천시
KH10048,21,1,칠곡RDC,대구광역시 달서구
1508,20,1,제주RDC,제주특별자치도 제주시
7023,20,1,평택RDC,충청남도 아산시
6777,20,1,칠곡RDC,대구광역시 북구
7621,20,1,칠곡RDC,경상북도 칠곡군
9678,20,1,평택RDC,충청남도 태안군
KH10024,20,1,계룡RDC,전라북도 김제시
KP13214,20,1,평택RDC,경기도 평택시
KP11056,20,1,계룡RDC,충청북도 옥천군
KH10868,20,1,칠곡RDC,부산광역시 사상구
KP12911,20,1,계룡RDC,충청북도 증평군
9576,20,1,평택RDC,경기도 하남시
KH10131,20,1,평택RDC,경기도 수원시 영통구
KP12434,20,1,평택RDC,경기도 하남시
KP12686,20,1,계룡RDC,전라북도 순창군
126,20,1,칠곡RDC,대구광역시 동구
KP11219,20,1,제천RDC,충청북도 충주시
KP13746,20,1,평택RDC,충청남도 천안시 동남구
KP13812,20,1,칠곡RDC,경상북도 울진군
KH11186,20,1,계룡RDC,전라남도 순천시
KP13865,20,1,평택RDC,경기도 용인시 기흥구
KH07509,19,1,평택RDC,경기도 군포시
KP13367,19,1,계룡RDC,전라북도 김제시
1292,19,2,칠곡RDC / 평택RDC,울산광역시 울주군 / 충청남도 서산시
KP11347,19,1,계룡RDC,광주광역시 북구
KP12381,19,1,제천RDC,강원도 평창군
KP13459,19,1,칠곡RDC,경상남도 밀양시
7680,19,1,평택RDC,경기도 부천시 오정구
7866,19,1,평택RDC,경기도 용인시 처인구
KH10968,19,1,평택RDC,충청남도 천안시 서북구
6336,19,1,평택RDC,인천광역시 서구
KP11469,19,1,제천RDC,강원도 양양군
8789,19,1,칠곡RDC,경상북도 포항시 남구
KP13232,19,1,평택RDC,경기도 화성시
KP12617,19,1,계룡RDC,전라북도 정읍시
KP12915,19,1,평택RDC,충청북도 진천군
KP13633,19,1,계룡RDC,충청남도 서천군
KP13092,19,1,평택RDC,경기도 안산시 상록구
7668,19,1,제천RDC,충청북도 충주시
KP13741,19,1,평택RDC,경기도 평택시
KH11023,19,1,평택RDC,경기도 부천시 오정구
KP13747,19,1,제천RDC,경기도 여주시
KH11141,19,1,평택RDC,경기도 평택시
KH10370,19,1,제천RDC,강원도 춘천시
5956,18,1,칠곡RDC,경상남도 창녕군
KP13181,18,1,칠곡RDC,경상북도 경주시
KP12673,18,1,제천RDC,충청북도 충주시
KP12202,18,1,평택RDC,충청북도 음성군
630,18,1,평택RDC,경기도 화성시
KH10262,18,1,칠곡RDC,울산광역시 남구
3020406,18,1,평택RDC,충청북도 음성군
9808,18,2,평택RDC,강원도 철원군 / 경기도 포천시
KP13628,18,1,평택RDC,경기도 의정부시
KP13321,18,1,칠곡RDC,경상북도 영덕군
KP13432,18,1,계룡RDC,전라북도 군산시
KP12201,18,1,칠곡RDC,경상북도 김천시
KP12175,18,1,제천RDC,강원도 삼척시
1272,18,1,칠곡RDC,경상북도 경주시
KH10005,18,1,평택RDC,경기도 구리시
7407,18,1,계룡RDC,세종특별자치시 세종특별자치시
5087,18,1,칠곡RDC,경상남도 의령군
KH10591,18,1,계룡RDC,전라북도 전주시 완산구
KH01149,18,1,칠곡RDC,대구광역시 동구
KP12559,18,1,평택RDC,경기도 포천시
10428,18,1,평택RDC,경기도 남양주시
7981,18,1,칠곡RDC,경상남도 양산시
KP11861,18,1,칠곡RDC,경상북도 포항시 남구
KP13261,18,1,평택RDC,경기도 화성시
KP13837,18,1,평택RDC,경기도 수원시 권선구
KP13711,18,1,평택RDC,경기도 하남시
KH11004,18,1,평택RDC,경기도 하남시
KP13841,18,1,계룡RDC,광주광역시 광산구
KP11960,17,1,평택RDC,경기도 수원시 권선구
KH07506,17,1,평택RDC,경기도 수원시 팔달구
9364,17,1,평택RDC,경기도 안산시 단원구
KP11305,17,1,칠곡RDC,경상북도 칠곡군
KP12753,17,1,계룡RDC,충청남도 청양군
KP12855,17,1,계룡RDC,광주광역시 북구
KP11466,17,1,제천RDC,강원도 횡성군
KP13202,17,1,평택RDC,경기도 안산시 단원구
5334,17,1,칠곡RDC,경상남도 양산시
KH10867,17,1,평택RDC,인천광역시 중구
KP13208,17,1,평택RDC,충청북도 진천군
10208,17,4,평택RDC,경기도 화성시
942,17,1,계룡RDC,충청남도 부여군
KH10918,17,1,평택RDC,경기도 용인시 기흥구
KP13644,17,1,평택RDC,충청남도 천안시 동남구
KH10580,17,1,평택RDC,경기도 안성시
3017243,17,1,칠곡RDC,경상북도 포항시 남구
KP13850,17,1,평택RDC,서울특별시 양천구
KH11249,17,1,평택RDC,경기도 고양시 일산동구
KH07326,16,1,평택RDC,경기도 용인시 처인구
KP13457,16,1,칠곡RDC,경상남도 사천시
KP13122,16,1,계룡RDC,전라북도 전주시 완산구
KP12607,16,1,제천RDC,경기도 여주시
10602,16,1,계룡RDC,전라북도 남원시
KP13168,16,1,칠곡RDC,부산광역시 강서구
KP12406,16,1,계룡RDC,충청북도 청주시 서원구
7694,16,1,계룡RDC,전라남도 화순군
10068,16,1,칠곡RDC,울산광역시 북구
KP11027,16,1,평택RDC,경기도 하남시
4470,16,1,칠곡RDC,울산광역시 울주군
7753,16,1,평택RDC,경기도 남양주시
9585,16,1,칠곡RDC,경상북도 구미시
KH10461,16,1,칠곡RDC,경상북도 경주시
KP13126,16,1,칠곡RDC,경상남도 창원시 마산회원구
KP11467,16,1,제천RDC,강원도 인제군
KP11702,16,1,계룡RDC,대전광역시 중구
KP11676,16,1,평택RDC,경기도 안양시 동안구
KH08536,16,1,평택RDC,서울특별시 송파구
KP13416,16,1,제천RDC,경상북도 봉화군
8127,16,1,계룡RDC,대전광역시 대덕구
KP12826,16,1,칠곡RDC,경상남도 김해시
KP13632,16,1,계룡RDC,충청북도 청주시 서원구
KP13107,16,1,평택RDC,경기도 파주시
6843,16,2,평택RDC,경기도 포천시 / 서울특별시 중랑구
KH11087,16,1,평택RDC,경기도 용인시 처인구
KP13715,16,1,평택RDC,경기도 화성시
KH11195,16,1,평택RDC,경기도 화성시
KP13703,16,1,계룡RDC,광주광역시 동구
KP13692,16,1,평택RDC,경기도 오산시
KP12985,16,1,제천RDC,강원도 삼척시
KP11875,16,1,칠곡RDC,대구광역시 서구
8961,15,1,칠곡RDC,대구광역시 북구
4944,15,1,평택RDC,경기도 광주시
KP11478,15,1,평택RDC,충청북도 진천군
KP13101,15,1,평택RDC,경기도 동두천시
KH00408,15,1,계룡RDC,전라남도 순천시
3019346,15,1,제천RDC,강원도 강릉시
KH10004,15,1,평택RDC,경기도 화성시
KH00845,15,1,칠곡RDC,경상남도 김해시
KP11606,15,1,제천RDC,강원도 영월군
8966,15,1,칠곡RDC,경상북도 포항시 남구
7922,15,1,칠곡RDC,경상북도 포항시 남구
KP12544,15,1,평택RDC,충청남도 당진시
KP13651,15,1,칠곡RDC,경상남도 창원시 진해구
KH10396,15,1,평택RDC,경기도 광주시
KP11630,15,1,칠곡RDC,부산광역시 기장군
KH02378,15,1,평택RDC,경기도 성남시 수정구
KH07486,15,1,계룡RDC,전라북도 군산시
KP13796,15,1,평택RDC,경기도 화성시
KP13450,15,1,평택RDC,경기도 수원시 영통구
KH09562,14,1,평택RDC,경기도 부천시 원미구
10625,14,4,칠곡RDC,경상북도 울진군
1155,14,1,칠곡RDC,부산광역시 사하구
9210,14,1,평택RDC,경기도 구리시
KH09855,14,1,평택RDC,경기도 평택시
KH10978,14,1,평택RDC,경기도 화성시
3682,14,1,평택RDC,경기도 광주시
KP13627,14,1,평택RDC,서울특별시 강동구
3019157,14,1,제천RDC,강원도 강릉시
KP13011,14,1,계룡RDC,전라북도 전주시 덕진구
KH10312,14,1,평택RDC,경기도 의정부시
KH07269,14,1,칠곡RDC,경상남도 김해시
10601,14,1,평택RDC,인천광역시 서구
9969,14,5,계룡RDC,광주광역시 서구 / 전라남도 나주시 / 전라남도 해남군 / 전라북도 임실군
KH10417,14,1,평택RDC,경기도 파주시
9736,14,1,계룡RDC,대전광역시 대덕구
9608,14,1,칠곡RDC,부산광역시 강서구
6352,14,1,제주RDC,제주특별자치도 서귀포시
7662,14,1,제천RDC,강원도 인제군
KH09968,14,1,계룡RDC,대전광역시 유성구
910,14,1,계룡RDC,충청남도 공주시
9638,14,1,평택RDC,충청북도 음성군
KH08795,14,1,제천RDC,강원도 인제군
KP13784,14,1,계룡RDC,전라북도 익산시
KP13694,14,1,제천RDC,강원도 속초시
KP13742,14,1,평택RDC,경기도 성남시 수정구
KP13790,14,1,평택RDC,경기도 고양시 일산동구
4171,14,1,계룡RDC,전라북도 전주시 덕진구
KH01271,14,1,평택RDC,서울특별시 강남구
KH04152,14,1,평택RDC,경기도 화성시
KP13061,13,1,칠곡RDC,부산광역시 해운대구
1356,13,1,칠곡RDC,경상남도 사천시
KP12913,13,1,평택RDC,인천광역시 부평구
5550,13,1,평택RDC,충청남도 서산시
KH10697,13,1,칠곡RDC,경상남도 창원시 마산회원구
KP13191,13,1,칠곡RDC,경상북도 경주시
1087,13,1,칠곡RDC,경상북도 고령군
KP13093,13,1,칠곡RDC,경상남도 양산시
7062,13,1,계룡RDC,전라남도 해남군
KP11465,13,1,제천RDC,강원도 춘천시
KP12710,13,1,평택RDC,서울특별시 종로구
10131,13,1,계룡RDC,충청북도 청주시 청원구
KP12411,13,1,칠곡RDC,경상북도 구미시
KP13256,13,1,평택RDC,경기도 성남시 중원구
KP11799,13,1,칠곡RDC,부산광역시 금정구
KH05555,13,1,평택RDC,경기도 의정부시
KP11414,13,1,칠곡RDC,경상남도 거제시
1585,13,1,칠곡RDC,울산광역시 울주군
KH10389,13,1,칠곡RDC,부산광역시 부산진구
KP11355,13,1,평택RDC,경기도 성남시 분당구
KP12398,13,1,계룡RDC,충청북도 옥천군
KP11039,13,1,계룡RDC,광주광역시 광산구
10570,13,1,평택RDC,경기도 시흥시
KP11985,13,1,계룡RDC,충청남도 논산시
9751,13,1,계룡RDC,충청남도 논산시
KP12721,13,1,평택RDC,충청북도 진천군
KP12610,13,1,평택RDC,경기도 화성시
KH11192,13,1,평택RDC,경기도 평택시
KH05591,13,1,제천RDC,강원도 춘천시
KH11208,13,1,계룡RDC,광주광역시 북구
3019284,13,1,제주RDC,제주특별자치도 제주시
KP13873,13,1,평택RDC,경기도 안산시 단원구
KP12860,12,1,칠곡RDC,경상남도 거제시
KP11915,12,1,계룡RDC,충청북도 청주시 서원구
9280,12,1,평택RDC,경기도 용인시 처인구
397,12,2,평택RDC,경기도 고양시 일산서구 / 서울특별시 마포구
3022138,12,1,칠곡RDC,경상남도 창원시 성산구
1579,12,1,칠곡RDC,부산광역시 동래구
KP13626,12,1,평택RDC,경기도 구리시
KP13464,12,1,계룡RDC,충청남도 금산군
KH10249,12,1,칠곡RDC,대구광역시 달성군
9121,12,1,평택RDC,경기도 안성시
KP11587,12,1,평택RDC,경기도 화성시
KP13228,12,1,평택RDC,경기도 부천시 원미구
KH06936,12,1,계룡RDC,전라북도 전주시 덕진구
KP12763,12,1,계룡RDC,대전광역시 서구
KH10107,12,1,평택RDC,경기도 양평군
KP13409,12,1,칠곡RDC,경상북도 포항시 북구
KH02231,12,1,평택RDC,경기도 안양시 동안구
KP11052,12,1,칠곡RDC,경상남도 진주시
5369,12,1,계룡RDC,전라남도 목포시
KH02481,12,1,평택RDC,경기도 평택시
KP11617,12,1,계룡RDC,충청북도 보은군
KH02190,12,1,평택RDC,경기도 연천군
KP12125,12,1,계룡RDC,충청북도 청주시 서원구
9409,12,1,칠곡RDC,경상북도 포항시 남구
KP13303,12,1,계룡RDC,전라북도 익산시
KP13254,12,1,제천RDC,강원도 영월군
10242,12,2,계룡RDC,광주광역시 광산구 / 광주광역시 서구
KP13823,12,1,칠곡RDC,경상북도 청송군
KP13729,12,1,계룡RDC,광주광역시 서구
KH01151,12,1,칠곡RDC,부산광역시 강서구
KH08094,12,1,계룡RDC,전라북도 전주시 덕진구
KP13868,12,1,평택RDC,경기도 화성시
KH10578,11,1,칠곡RDC,경상남도 거제시
KH10466,11,1,평택RDC,경기도 성남시 수정구
7573,11,1,칠곡RDC,부산광역시 부산진구
467,11,2,평택RDC,경기도 부천시 원미구 / 서울특별시 구로구
KP11419,11,1,칠곡RDC,경상북도 구미시
KH09978,11,1,칠곡RDC,경상남도 김해시
7026,11,1,칠곡RDC,경상남도 진주시
KH02321,11,1,칠곡RDC,경상남도 김해시
6006,11,1,계룡RDC,세종특별자치시 세종특별자치시
KP12718,11,1,계룡RDC,전라북도 정읍시
9621,11,2,계룡RDC / 칠곡RDC,부산광역시 기장군 / 전라남도 여수시
KP13411,11,1,제천RDC,강원도 동해시
KH08251,11,1,칠곡RDC,경상남도 김해시
KP11403,11,1,계룡RDC,충청남도 논산시
KH10060,11,1,계룡RDC,충청북도 청주시 흥덕구
KH10246,11,1,칠곡RDC,경상북도 구미시
KP11567,11,1,계룡RDC,전라남도 여수시
KP12222,11,1,칠곡RDC,경상남도 밀양시
KH09642,11,1,칠곡RDC,경상남도 진주시
KH07913,11,1,평택RDC,경기도 고양시 일산동구
10629,11,1,칠곡RDC,경상남도 김해시
10315,11,1,칠곡RDC,경상북도 김천시
6849,11,1,칠곡RDC,경상북도 경주시
KP12452,11,1,평택RDC,강원도 철원군
KP11435,11,1,평택RDC,충청남도 서산시
KP12712,11,1,평택RDC,경기도 동두천시
KH09564,11,1,계룡RDC,충청남도 금산군
1421,11,1,칠곡RDC,경상북도 경산시
KP13031,11,1,칠곡RDC,부산광역시 사상구
3938,11,1,평택RDC,경기도 화성시
KH11326,11,1,계룡RDC,전라북도 임실군
KH11071,11,1,평택RDC,경기도 평택시
10066,11,1,제천RDC,충청북도 단양군
KH11069,11,1,칠곡RDC,대구광역시 서구
KP13446,10,1,평택RDC,인천광역시 미추홀구
KP13038,10,1,칠곡RDC,경상북도 포항시 남구
KP13138,10,1,제천RDC,경기도 여주시
KP13005,10,1,칠곡RDC,경상남도 김해시
KP13003,10,1,계룡RDC,충청북도 청주시 청원구
317,10,1,평택RDC,경기도 파주시
1124,10,1,칠곡RDC,대구광역시 달성군
1148,10,1,칠곡RDC,부산광역시 동구
KP13291,10,1,제천RDC,충청북도 제천시
KP13072,10,1,칠곡RDC,경상북도 구미시
KP12935,10,1,평택RDC,경기도 평택시
KP11224,10,1,평택RDC,충청남도 태안군
KH10322,10,1,제천RDC,강원도 횡성군
KH10402,10,1,칠곡RDC,경상남도 함안군
KP13279,10,1,평택RDC,경기도 가평군
KP12085,10,1,계룡RDC,대전광역시 대덕구
KP12863,10,1,평택RDC,충청남도 천안시 동남구
KP11951,10,1,평택RDC,경기도 광명시
9373,10,1,칠곡RDC,경상남도 함안군
KH10072,10,1,계룡RDC,대전광역시 유성구
7848,10,1,칠곡RDC,경상북도 경산시
3004393,10,1,제천RDC,강원도 홍천군
KP13119,10,1,계룡RDC,전라남도 영암군
KH10102,10,1,제천RDC,경기도 이천시
KP12261,10,1,평택RDC,경기도 김포시
KP13308,10,1,칠곡RDC,경상북도 상주시
KP13680,10,1,칠곡RDC,경상북도 영덕군
3265,10,1,칠곡RDC,부산광역시 연제구
KH11289,10,1,계룡RDC,전라북도 전주시 완산구
KH10683,10,1,칠곡RDC,경상남도 양산시
KP12352,10,1,평택RDC,서울특별시 종로구
KH01796,10,1,계룡RDC,전라남도 목포시
KH11334,10,1,계룡RDC,광주광역시 북구
KH11232,10,1,칠곡RDC,부산광역시 사하구
941,9,1,계룡RDC,충청남도 공주시
KH08776,9,1,평택RDC,경기도 용인시 기흥구
KP12098,9,1,칠곡RDC,부산광역시 해운대구
KP13453,9,1,제천RDC,경기도 여주시
KP13225,9,1,계룡RDC,전라남도 무안군
7113,9,1,평택RDC,경기도 화성시
KH10976,9,1,평택RDC,경기도 화성시
KP12596,9,1,평택RDC,충청남도 아산시
KH10260,9,1,평택RDC,서울특별시 광진구
KP11225,9,1,계룡RDC,대전광역시 대덕구
10612,9,1,평택RDC,경기도 화성시
1300,9,1,칠곡RDC,울산광역시 울주군
6862,9,1,제주RDC,제주특별자치도 제주시
8951,9,1,칠곡RDC,경상북도 칠곡군
KH10245,9,1,칠곡RDC,경상남도 창원시 의창구
KH06939,9,1,계룡RDC,전라북도 익산시
7276,9,1,계룡RDC,전라남도 여수시
5166,9,1,칠곡RDC,경상남도 김해시
KH07313,9,1,칠곡RDC,경상북도 포항시 북구
KP11215,9,1,칠곡RDC,경상남도 창원시 마산합포구
9718,9,1,제주RDC,제주특별자치도 제주시
7873,9,1,평택RDC,충청남도 서산시
2916,9,1,계룡RDC,광주광역시 북구
4071,9,1,계룡RDC,전라남도 순천시
7858,9,1,평택RDC,경기도 평택시
KP11729,9,1,계룡RDC,전라남도 광양시
KP12526,9,1,계룡RDC,세종특별자치시 세종특별자치시
295,9,1,평택RDC,서울특별시 강남구
9380,9,1,평택RDC,충청남도 서산시
8133,9,1,평택RDC,경기도 가평군
KP11321,9,1,제천RDC,경기도 이천시
KP13313,9,1,평택RDC,경기도 포천시
KP12395,9,1,제천RDC,강원도 양구군
10618,9,3,칠곡RDC,경상북도 김천시 / 경상북도 상주시
3016062,9,1,제천RDC,경기도 여주시
KH11061,9,1,계룡RDC,전라북도 전주시 덕진구
KP12774,9,1,평택RDC,충청남도 아산시
KP13845,9,1,제천RDC,경상북도 영주시
KH11118,9,1,평택RDC,서울특별시 은평구
KP13848,9,1,평택RDC,경기도 성남시 수정구
KP13768,9,1,평택RDC,인천광역시 남동구
KP13718,9,1,칠곡RDC,경상남도 진주시
KP13305,9,1,계룡RDC,충청남도 논산시
KP13756,9,1,평택RDC,경기도 포천시
KP13246,8,1,평택RDC,경기도 김포시
KH09230,8,1,제천RDC,강원도 동해시
KP12905,8,1,계룡RDC,충청남도 금산군
KH07994,8,1,칠곡RDC,경상남도 양산시
9168,8,3,평택RDC,경기도 수원시 권선구 / 경기도 화성시
KP13187,8,1,평택RDC,경기도 용인시 기흥구
KH10971,8,1,평택RDC,경기도 가평군
KH10244,8,1,칠곡RDC,경상남도 김해시
3003707,8,1,칠곡RDC,부산광역시 기장군
6645,8,1,제주RDC,제주특별자치도 제주시
KH10125,8,1,평택RDC,경기도 화성시
KP13060,8,1,칠곡RDC,경상남도 함안군
KP11977,8,1,칠곡RDC,부산광역시 사상구
KP12920,8,1,제천RDC,강원도 속초시
KH02254,8,1,칠곡RDC,부산광역시 기장군
KP13177,8,1,계룡RDC,세종특별자치시 세종특별자치시
KP11041,8,1,계룡RDC,전라남도 목포시
KP13648,8,1,칠곡RDC,경상남도 거제시
KH10252,8,1,칠곡RDC,대구광역시 서구
KP11696,8,1,계룡RDC,광주광역시 광산구
KH10535,8,1,칠곡RDC,부산광역시 사하구
KH10139,8,1,칠곡RDC,부산광역시 금정구
9367,8,1,제천RDC,충청북도 충주시
KP13463,8,1,평택RDC,경기도 평택시
6542,8,1,칠곡RDC,부산광역시 강서구
10614,8,1,칠곡RDC,대구광역시 달성군
KH02065,8,1,칠곡RDC,부산광역시 부산진구
KH09785,8,1,평택RDC,경기도 고양시 일산동구
KH09492,8,1,계룡RDC,전라북도 익산시
KH10875,8,1,평택RDC,서울특별시 서초구
6649,8,1,평택RDC,경기도 남양주시
KP13720,8,1,칠곡RDC,경상북도 문경시
KH11096,8,1,평택RDC,서울특별시 서초구
KH01818,8,1,계룡RDC,전라북도 군산시
KH11103,8,1,계룡RDC,대전광역시 대덕구
KH11107,8,1,계룡RDC,전라북도 전주시 덕진구
KH10702,8,1,제천RDC,경상북도 봉화군
KH11036,8,1,평택RDC,경기도 포천시
KP12188,8,1,평택RDC,경기도 수원시 권선구
KP13696,8,1,계룡RDC,충청남도 청양군
KH11291,8,1,평택RDC,경기도 연천군
KH11041,8,1,평택RDC,서울특별시 영등포구
9341,8,1,평택RDC,충청남도 아산시
KH11073,8,1,평택RDC,경기도 양주시
KP13870,8,1,평택RDC,경기도 용인시 처인구
KH08277,7,1,평택RDC,경기도 고양시 덕양구
KH10456,7,1,평택RDC,경기도 시흥시
KP13423,7,1,평택RDC,서울특별시 강서구
KH07493,7,1,칠곡RDC,경상북도 구미시
KP13653,7,1,계룡RDC,충청북도 옥천군
KH10250,7,1,칠곡RDC,대구광역시 동구
KP12490,7,1,평택RDC,경기도 화성시
KH10047,7,1,칠곡RDC,경상북도 경주시
KP11871,7,1,평택RDC,충청남도 아산시
KP13649,7,1,칠곡RDC,부산광역시 기장군
KP12862,7,1,칠곡RDC,경상남도 사천시
9296,7,1,평택RDC,경기도 화성시
1313,7,1,칠곡RDC,울산광역시 중구
9878,7,1,칠곡RDC,경상북도 경주시
KP13645,7,1,칠곡RDC,경상남도 김해시
KP12739,7,1,평택RDC,경기도 포천시
6097,7,2,평택RDC,경기도 시흥시 / 경기도 안산시 상록구
KP11063,7,1,계룡RDC,전라남도 순천시
7696,7,1,평택RDC,경기도 광주시
KP13458,7,1,평택RDC,경기도 포천시
KP12780,7,1,계룡RDC,전라북도 전주시 완산구
KP11612,7,1,계룡RDC,세종특별자치시 세종특별자치시
96,7,1,평택RDC,충청남도 서산시
KH08193,7,1,칠곡RDC,부산광역시 수영구
KH02218,7,1,계룡RDC,전라북도 군산시
195,7,1,평택RDC,경기도 하남시
KP13222,7,1,제주RDC,제주특별자치도 제주시
KP12410,7,1,평택RDC,충청남도 홍성군
7814,7,1,평택RDC,경기도 오산시
KP13281,7,1,칠곡RDC,울산광역시 중구
KH10756,7,1,평택RDC,인천광역시 동구
9964,7,1,평택RDC,충청남도 홍성군
KP12822,7,1,칠곡RDC,경상남도 함안군
7896,7,1,평택RDC,충청남도 서산시
1536,7,1,칠곡RDC,부산광역시 부산진구
KP13465,7,1,계룡RDC,전라북도 전주시 덕진구
KH10972,7,1,평택RDC,경기도 성남시 수정구
926,7,1,계룡RDC,대전광역시 서구
3637,7,1,평택RDC,경기도 부천시 소사구
KP13846,7,1,평택RDC,경기도 시흥시
KP13740,7,1,평택RDC,인천광역시 서구
KH09583,7,1,제천RDC,강원도 원주시
KH11372,7,1,평택RDC,경기도 성남시 분당구
KH11177,7,1,평택RDC,경기도 오산시
KH11337,7,1,평택RDC,경기도 김포시
KP13310,7,1,칠곡RDC,경상북도 구미시
KH11388,7,1,평택RDC,인천광역시 연수구
KH11072,7,1,평택RDC,경기도 용인시 처인구
1106,6,1,칠곡RDC,대구광역시 달서구
KH02146,6,1,칠곡RDC,대구광역시 달성군
7066,6,1,계룡RDC,충청남도 보령시
677,6,1,평택RDC,인천광역시 부평구
KH10358,6,1,평택RDC,경기도 고양시 일산서구
KH10095,6,1,칠곡RDC,부산광역시 금정구
8955,6,1,계룡RDC,대전광역시 서구
9978,6,1,평택RDC,충청남도 당진시
KP13270,6,1,제천RDC,강원도 강릉시
6098,6,1,평택RDC,경기도 안양시 만안구
7166,6,2,칠곡RDC / 평택RDC,부산광역시 사상구 / 서울특별시 서초구
333,6,1,평택RDC,서울특별시 금천구
3014277,6,1,평택RDC,서울특별시 금천구
KP13142,6,1,칠곡RDC,경상남도 양산시
1703,6,1,계룡RDC,광주광역시 북구
KH10251,6,1,칠곡RDC,대구광역시 서구
KP13139,6,1,칠곡RDC,경상남도 양산시
KP13030,6,1,제천RDC,강원도 고성군
510,6,1,평택RDC,경기도 성남시 분당구
KH10811,6,1,계룡RDC,전라북도 순창군
KH02345,6,1,평택RDC,경기도 하남시
KH07993,6,1,계룡RDC,전라남도 나주시
5347,6,2,제천RDC,강원도 인제군
KP13276,6,1,계룡RDC,세종특별자치시 세종특별자치시
2902,6,1,제천RDC,충청북도 음성군
5342,6,1,평택RDC,경기도 광주시
KH00453,6,1,칠곡RDC,부산광역시 연제구
KH10273,6,1,평택RDC,충청남도 천안시 서북구
KH02059,6,1,계룡RDC,광주광역시 광산구
