주문자코드(Sold to),건수,배송지(Ship-to) 수,출하RDC,배송지역
1892,56,2,계룡RDC,전라남도 장흥군
KP12156,56,1,칠곡RDC,경상남도 김해시
KP11446,56,1,칠곡RDC,경상남도 진주시
KH10510,56,1,칠곡RDC,경상북도 경주시
KP12529,56,1,제천RDC,강원도 강릉시
674,56,1,평택RDC,인천광역시 계양구
9674,56,1,평택RDC,충청남도 서산시
KH11135,56,1,평택RDC,인천광역시 미추홀구
KP13820,56,1,계룡RDC,전라북도 전주시 덕진구
KP13045,55,1,칠곡RDC,대구광역시 달서구
KH04017,55,1,칠곡RDC,울산광역시 중구
6171,55,2,평택RDC,인천광역시 중구
7176,55,1,칠곡RDC,경상남도 통영시
KP11544,55,1,계룡RDC,광주광역시 북구
KP11001,55,1,칠곡RDC,경상남도 김해시
559,55,1,평택RDC,인천광역시 중구
KH10966,55,1,계룡RDC,전라북도 익산시
KP13805,55,1,평택RDC,경기도 고양시 덕양구
6261,54,1,칠곡RDC,경상남도 거창군
KH07667,54,1,칠곡RDC,부산광역시 기장군
KP12844,54,1,평택RDC,경기도 김포시
786,54,1,평택RDC,충청남도 아산시
KH10561,54,1,계룡RDC,충청북도 청주시 서원구
2895,53,1,평택RDC,강원도 철원군
KH10706,53,1,평택RDC,경기도 화성시
KF01371,53,1,중부RDC,대전광역시 대덕구
765,53,1,계룡RDC,대전광역시 대덕구
7069,53,1,제천RDC,강원도 영월군
7756,53,2,평택RDC,충청남도 당진시 / 충청남도 태안군
KH11081,53,1,평택RDC,경기도 화성시
KP13816,53,1,평택RDC,경기도 시흥시
9551,52,2,평택RDC,경기도 용인시 처인구 / 경기도 화성시
KP13020,52,1,제천RDC,강원도 속초시
KH08531,52,1,계룡RDC,충청북도 괴산군
KP11655,52,1,평택RDC,경기도 시흥시
KP11825,52,1,계룡RDC,대전광역시 유성구
260,52,2,평택RDC,경기도 용인시 처인구 / 서울특별시 영등포구
KH10844,51,1,평택RDC,인천광역시 연수구
9819,51,1,칠곡RDC,경상북도 구미시
KH10310,51,1,평택RDC,경기도 용인시 처인구
3578,51,1,칠곡RDC,경상남도 합천군
1476,51,2,칠곡RDC,경상북도 경주시 / 경상북도 문경시
KP13619,51,1,평택RDC,서울특별시 양천구
KP12375,51,1,제천RDC,충청북도 충주시
KP11399,51,1,칠곡RDC,경상북도 칠곡군
KH10465,50,1,평택RDC,경기도 하남시
KP13085,50,1,평택RDC,충청남도 아산시
KH10524,50,1,칠곡RDC,부산광역시 강서구
KH02202,50,1,평택RDC,경기도 양주시
KH07654,50,1,평택RDC,경기도 화성시
6610,50,1,평택RDC,경기도 용인시 처인구
5547,50,1,칠곡RDC,경상북도 상주시
KH11175,50,1,평택RDC,경기도 김포시
KP13023,49,1,계룡RDC,충청남도 보령시
8256,49,1,평택RDC,경기도 화성시
KP12677,49,1,평택RDC,경기도 안산시 상록구
3015787,49,1,평택RDC,경기도 파주시
KP12382,49,1,평택RDC,경기도 오산시
832,48,1,계룡RDC,세종특별자치시 세종특별자치시
KP11033,48,1,칠곡RDC,울산광역시 중구
10241,48,1,평택RDC,경기도 안양시 만안구
KH10765,48,1,칠곡RDC,경상북도 구미시
9730,48,1,계룡RDC,대전광역시 대덕구
10637,48,1,평택RDC,충청남도 홍성군
1524,48,1,칠곡RDC,부산광역시 사상구
6716,48,1,평택RDC,경기도 안성시
1417,47,1,칠곡RDC,경상북도 경산시
1771,47,1,계룡RDC,전라남도 순천시
KP12623,47,1,평택RDC,인천광역시 부평구
4973,47,1,칠곡RDC,경상남도 하동군
KP13055,47,1,평택RDC,충청남도 천안시 서북구
3859,47,1,평택RDC,경기도 양주시
KH07656,47,1,칠곡RDC,경상남도 김해시
7840,47,1,평택RDC,경기도 안성시
KP11462,47,1,제천RDC,강원도 춘천시
9166,47,1,평택RDC,경기도 양주시
KH11082,47,1,평택RDC,경기도 안양시 동안구
KP13719,47,1,평택RDC,경기도 고양시 덕양구
KP13815,47,1,평택RDC,경기도 남양주시
KH09616,46,1,칠곡RDC,경상남도 김해시
2465,46,1,제주RDC,제주특별자치도 제주시
6761,46,1,계룡RDC,충청남도 보령시
4613,46,1,칠곡RDC,부산광역시 연제구
4866,46,1,칠곡RDC,대구광역시 달서구
4461,46,2,칠곡RDC,경상북도 울진군
3904,46,1,평택RDC,경기도 고양시 덕양구
7853,46,1,계룡RDC,충청북도 청주시 흥덕구
KP13721,46,1,평택RDC,충청남도 천안시 서북구
KP13763,46,1,평택RDC,경기도 시흥시
KP13701,46,1,평택RDC,서울특별시 종로구
642,45,1,평택RDC,경기도 수원시 권선구
3017834,45,1,계룡RDC,전라북도 익산시
1944,45,1,계룡RDC,광주광역시 북구
KH02159,45,1,평택RDC,충청남도 천안시 서북구
KP13650,45,1,계룡RDC,전라북도 남원시
KP11782,45,1,평택RDC,충청남도 서산시
KP12557,45,1,칠곡RDC,경상남도 함안군
1492,45,1,제주RDC,제주특별자치도 제주시
KP11926,45,1,제천RDC,충청북도 충주시
KP11061,45,1,계룡RDC,전라북도 정읍시
KP11247,45,1,계룡RDC,전라북도 익산시
KH11047,45,1,평택RDC,경기도 용인시 처인구
KP13799,45,1,계룡RDC,전라남도 목포시
KH11248,45,1,계룡RDC,광주광역시 남구
KP11290,44,1,칠곡RDC,부산광역시 기장군
KH10809,44,1,평택RDC,경기도 안양시 동안구
1165,44,1,칠곡RDC,부산광역시 영도구
5322,44,1,칠곡RDC,부산광역시 금정구
KP13062,44,1,칠곡RDC,경상북도 칠곡군
KH10917,44,1,평택RDC,경기도 하남시
8994,44,1,제천RDC,강원도 동해시
KP13268,44,1,평택RDC,충청남도 아산시
KH09997,44,1,평택RDC,충청남도 천안시 서북구
KP13693,44,1,평택RDC,경기도 수원시 권선구
KP13690,44,1,평택RDC,경기도 부천시 원미구
KP13811,44,1,평택RDC,충청남도 아산시
7196,43,1,계룡RDC,세종특별자치시 세종특별자치시
KP13269,43,1,평택RDC,경기도 광주시
6182,43,1,계룡RDC,광주광역시 광산구
KP12347,43,1,평택RDC,충청남도 당진시
KP13292,43,1,칠곡RDC,경상남도 진주시
9853,43,1,계룡RDC,전라북도 완주군
KP13428,43,1,평택RDC,경기도 부천시 원미구
KP11682,43,1,평택RDC,경기도 평택시
4458,43,1,계룡RDC,전라남도 목포시
KP11950,43,1,계룡RDC,전라북도 익산시
3842,43,1,계룡RDC,광주광역시 광산구
KP11596,43,1,계룡RDC,전라북도 전주시 덕진구
7789,43,1,계룡RDC,충청남도 논산시
8131,43,1,평택RDC,충청남도 서산시
10137,43,1,계룡RDC,전라남도 나주시
KH10905,43,1,평택RDC,서울특별시 서초구
KP13758,43,1,제천RDC,경기도 이천시
KP11678,42,1,평택RDC,경기도 파주시
1280,42,1,칠곡RDC,경상북도 영덕군
KP12965,42,1,평택RDC,경기도 용인시 기흥구
KH10049,42,1,계룡RDC,전라남도 화순군
KP13140,42,1,계룡RDC,전라북도 익산시
4093,42,2,평택RDC,서울특별시 성동구 / 서울특별시 종로구
9533,42,1,계룡RDC,전라남도 광양시
1542,42,2,칠곡RDC,부산광역시 사상구
1514,42,1,칠곡RDC,경상남도 김해시
9669,42,1,평택RDC,경기도 안산시 단원구
KP12562,42,1,평택RDC,인천광역시 연수구
KP11588,42,1,칠곡RDC,경상남도 창원시 성산구
7737,42,1,평택RDC,충청북도 음성군
KP12082,42,1,평택RDC,충청남도 천안시 서북구
KP13673,42,1,계룡RDC,전라북도 장수군
KH11265,42,1,칠곡RDC,대구광역시 북구
KH11200,42,1,칠곡RDC,경상남도 창원시 진해구
KP13046,41,1,평택RDC,경기도 가평군
3017150,41,1,계룡RDC,전라북도 익산시
1803,41,1,계룡RDC,전라북도 군산시
KP12984,41,1,평택RDC,충청북도 음성군
KP13355,41,1,제천RDC,강원도 속초시
3876,41,3,계룡RDC,전라남도 순천시 / 전라남도 여수시
KP13624,41,1,평택RDC,경기도 남양주시
7979,41,1,평택RDC,경기도 화성시
5040,41,1,제천RDC,경상북도 영주시
3692,41,1,계룡RDC,광주광역시 광산구
KP13679,41,1,평택RDC,인천광역시 미추홀구
KP13025,40,1,계룡RDC,전라남도 목포시
8109,40,1,제주RDC,제주특별자치도 서귀포시
KP12952,40,1,평택RDC,경기도 용인시 기흥구
4600,40,1,계룡RDC,전라남도 보성군
6011,40,1,평택RDC,충청남도 당진시
KH08556,40,1,평택RDC,경기도 용인시 기흥구
1927,40,1,칠곡RDC,경상남도 창원시 의창구
KH10805,40,1,평택RDC,경기도 평택시
KP12695,40,1,칠곡RDC,경상북도 경산시
KP13748,40,1,칠곡RDC,경상남도 진주시
KH11065,40,1,평택RDC,경기도 화성시
3386,39,1,칠곡RDC,경상남도 김해시
4534,39,1,칠곡RDC,울산광역시 남구
584,39,1,평택RDC,인천광역시 남동구
KP11870,39,1,평택RDC,경기도 용인시 처인구
5306,39,2,제주RDC,제주특별자치도 서귀포시 / 제주특별자치도 제주시
10616,39,1,칠곡RDC,경상북도 성주군
KP12417,39,1,칠곡RDC,경상북도 청도군
KH10983,39,1,계룡RDC,광주광역시 광산구
616,38,1,평택RDC,경기도 수원시 장안구
KH10685,38,1,칠곡RDC,경상남도 사천시
KP12733,38,1,계룡RDC,전라북도 남원시
5951,38,1,평택RDC,경기도 안산시 상록구
10053,38,1,칠곡RDC,경상남도 김해시
3017245,38,1,평택RDC,경기도 파주시
KP12960,38,1,계룡RDC,전라북도 임실군
KH09497,38,1,평택RDC,경기도 양주시
KH10954,38,1,평택RDC,경기도 김포시
4368,38,1,칠곡RDC,부산광역시 동래구
8336,38,1,평택RDC,경기도 광명시
10636,38,1,평택RDC,충청남도 천안시 동남구
9022,38,1,평택RDC,인천광역시 연수구
KH11054,38,1,평택RDC,경기도 시흥시
8942,37,1,계룡RDC,전라남도 해남군
KP13094,37,1,평택RDC,서울특별시 동작구
KP11464,37,1,제천RDC,강원도 정선군
KP13110,37,1,제천RDC,강원도 강릉시
9707,37,1,칠곡RDC,경상남도 양산시
4364,37,1,칠곡RDC,경상남도 함안군
7723,37,1,평택RDC,경기도 용인시 처인구
6357,37,1,평택RDC,경기도 수원시 권선구
KH00926,37,1,평택RDC,서울특별시 서초구
KH07995,37,1,칠곡RDC,경상남도 거제시
1351,37,1,칠곡RDC,경상남도 진주시
KP12390,37,1,제주RDC,제주특별자치도 제주시
4883,37,1,평택RDC,경기도 남양주시
KP13683,37,1,계룡RDC,전라북도 전주시 덕진구
KH11042,37,1,평택RDC,충청남도 아산시
10427,36,1,평택RDC,경기도 남양주시
5520,36,1,평택RDC,경기도 광명시
KP13196,36,1,평택RDC,경기도 광주시
KH10403,36,1,칠곡RDC,부산광역시 금정구
5513,36,1,칠곡RDC,부산광역시 사하구
KP11053,36,1,칠곡RDC,경상남도 거창군
KP12830,36,1,제천RDC,충청북도 충주시
1828,36,1,계룡RDC,전라북도 군산시
KP13136,36,1,제천RDC,경기도 이천시
KP12685,36,1,칠곡RDC,경상남도 고성군
KP12491,36,1,평택RDC,경기도 하남시
KP13713,36,1,평택RDC,경기도 화성시
KP11326,35,1,평택RDC,경기도 성남시 중원구
KP12030,35,1,칠곡RDC,경상남도 창녕군
KH02295,35,1,계룡RDC,전라남도 영암군
KP13141,35,1,칠곡RDC,부산광역시 금정구
6696,35,1,계룡RDC,전라북도 순창군
7590,35,3,칠곡RDC,경상북도 고령군 / 대구광역시 달서구 / 대구광역시 북구
8292,35,1,평택RDC,경기도 용인시 처인구
9493,35,1,평택RDC,충청남도 천안시 서북구
10628,35,1,칠곡RDC,경상남도 김해시
KH08519,35,1,칠곡RDC,경상남도 진주시
KP12842,35,1,계룡RDC,충청북도 청주시 흥덕구
7096,35,1,계룡RDC,전라남도 보성군
1010,35,1,제천RDC,강원도 태백시
KP11308,35,1,칠곡RDC,경상북도 포항시 남구
KP11627,35,1,평택RDC,경기도 양주시
1836,35,1,계룡RDC,충청남도 서천군
1048,35,1,제천RDC,충청북도 제천시
KP12053,35,1,계룡RDC,전라북도 정읍시
KH11189,35,1,평택RDC,경기도 하남시
KP13856,35,1,제주RDC,제주특별자치도 서귀포시
KP12741,34,1,계룡RDC,세종특별자치시 세종특별자치시
KP13229,34,1,평택RDC,경기도 용인시 기흥구
KH02180,34,1,평택RDC,경기도 용인시 기흥구
KH08003,34,1,평택RDC,경기도 오산시
KP11992,34,1,평택RDC,인천광역시 계양구
7787,34,1,계룡RDC,충청남도 부여군
9675,34,2,평택RDC,경기도 광주시
KP12157,34,1,칠곡RDC,경상남도 창녕군
KH02344,34,1,계룡RDC,세종특별자치시 세종특별자치시
8431,34,1,제천RDC,강원도 삼척시
KP13786,34,1,평택RDC,경기도 안산시 단원구
KP13736,34,1,계룡RDC,전라북도 전주시 완산구
KP13825,34,1,칠곡RDC,부산광역시 남구
KP13800,34,1,계룡RDC,전라남도 해남군
KP13792,34,1,제천RDC,경상북도 영주시
KP13700,34,1,제천RDC,충청북도 음성군
1915,33,1,제주RDC,제주특별자치도 제주시
10456,33,1,칠곡RDC,경상남도 김해시
2577,33,1,평택RDC,경기도 고양시 덕양구
